Last_Name,First_Name,Unit,Street_Number,Street_Name,Street_Type,Suburb,Postcode,Full_Address,Number_Adults,Number_Children,Lat,Long,Primary_Phone,Emergency_Phone,Risk
Avery,Megan,,33,Robertson,Street,St Spencer,6058,"33 Robertson Street, St Spencer 6058",1,2,-31.83302343,115.9788356,0426763559,0414812383,MED
Ayala,Howard,,38,Goodwin,Street,Swan Weir,6037,"38 Goodwin Street, Swan Weir 6037",3,1,-31.81390095,115.9602159,0434712825,0415247671,MED
Ayers,Ignatius,,12,Lowery,Street,Swan Weir,6032,"12 Lowery Street, Swan Weir 6032",2,0,-32.02440217,115.928129,0471289864,0415726539,LOW
Bailey,Nola,,44,Roach,Road,Wilis Vale,6032,"44 Roach Road, Wilis Vale 6032",1,2,-32.05269071,115.9402536,0432447927,0415790833,LOW
Baker,Bernard,,47,Skinner,Street,Marricup,6058,"47 Skinner Street, Marricup 6058",2,2,-31.82796432,116.2940243,(08) 98150419,0416654661,LOW
Baker,Beau,,35,Lancaster,Road,Cloverwater,6090,"35 Lancaster Road, Cloverwater 6090",2,5,-31.90430727,115.9661954,0467306499,0416088689,MED
Ballard,Quon,,19,Page,Street,St Spencer,6059,"19 Page Street, St Spencer 6059",2,2,-31.97780652,116.0940173,0413496723,0416758669,LOW
Barker,Nita,,40,Stewart,Street,Mount Woorup,6095,"40 Stewart Street, Mount Woorup 6095",2,7,-31.97790945,115.9178265,0433479876,0417119634,LOW
Barlow,Sigourney,,8,Crawford,Street,Cubbin,6037,"8 Crawford Street, Cubbin 6037",1,1,-31.95882832,116.0864644,0466777392,0417131573,MED
Barton,Slade,Unit 5,22,Bond,Avenue,Swan Brook,6016,"Unit 5, 22 Bond Avenue, Swan Brook 6016",4,3,-31.86894962,115.9658957,0497557012,0417168772,MED
Barton,Aristotle,Unit 3,59,Patterson,Road,East Helena,6037,"Unit 3, 59 Patterson Road, East Helena 6037",2,1,-32.05960259,116.0967376,0422113235,0417143641,MED
Bass,Glenna,,9,Thomas,Avenue,Albadale,6090,"9 Thomas Avenue, Albadale 6090",3,0,-31.91361432,116.2095033,(08) 98646423,0417194836,LOW
Baxter,Kerry,,18,Daugherty,Street,High Canning,6032,"18 Daugherty Street, High Canning 6032",2,4,-32.05868534,115.9467437,0432025733,0417308009,LOW
Beck,Tasha,,22,Turner,Road,Bentley Valley,6021,"22 Turner Road, Bentley Valley 6021",2,0,-31.82464235,115.9981205,(08) 62033407,0417586877,LOW
Bell,Palmer,,14,Hess,Street,High Canning,6037,"14 Hess Street, High Canning 6037",1,1,-31.87199325,115.9463419,0487884851,0418020779,LOW
Benjamin,Nerea,,35,Shields,Street,Swan Brook,6032,"35 Shields Street, Swan Brook 6032",1,0,-32.08597684,115.9000706,0462861153,0418052822,LOW
Benson,Nicole,,37,Potter,Avenue,Albadale,6048,"37 Potter Avenue, Albadale 6048",2,2,-31.80430438,115.9771333,0470850137,0418203949,LOW
Berg,Jonah,,5,Compton,Street,Marricup,6032,"5 Compton Street, Marricup 6032",1,2,-32.00669173,115.9185666,0423102986,0418733971,HIGH
Best,Lacota,,32,Prince,Street,Marabelling,6048,"32 Prince Street, Marabelling 6048",2,3,-31.8759085,115.9981324,0451506249,0418762990,MED
Blackburn,Moana,,37,Taylor,Street,Billayong,6084,"37 Taylor Street, Billayong 6084",1,3,-31.98597847,116.0073088,0484410396,0418795432,LOW
Blackwell,Alec,,38,Hooper,Street,Stonefield,6016,"38 Hooper Street, Stonefield 6016",1,1,-31.83463342,116.0398844,0453119071,0419485576,LOW
Blackwell,Salvador,,13,Banks,Road,High Canning,6016,"13 Banks Road, High Canning 6016",1,0,-31.80265254,116.1762176,0453592129,0419144609,MED
Blackwell,Jarrod,,37,Lang,Street,South Cobrook,6059,"37 Lang Street, South Cobrook 6059",2,3,-31.92997129,116.295426,0457297881,0418931915,MED
Blake,Keith,,8,Cook,Road,Marabelling,6090,"8 Cook Road, Marabelling 6090",2,0,-32.02269857,116.077668,0468199576,0419769538,MED
Blankenship,Sade,,17,Mercer,Street,Swan Brook,6021,"17 Mercer Street, Swan Brook 6021",1,1,-31.83663399,115.905699,0418489767,0420266573,MED
Blankenship,Merritt,,39,Reid,Street,Stonefield,6037,"39 Reid Street, Stonefield 6037",2,0,-31.95290922,115.9423547,0433306768,0419877866,MED
Blankenship,Petra,,23,Mccarthy,Avenue,Cubbin,6095,"23 Mccarthy Avenue, Cubbin 6095",1,1,-31.90070264,116.0477134,0424238642,0420011780,LOW
Bond,Kadeem,,36,Cochran,Street,South Cobrook,6032,"36 Cochran Street, South Cobrook 6032",2,1,-32.08921965,115.9073143,0465244903,0420350967,MED
Boone,Alden,,15,Duffy,Avenue,Greenville,6032,"15 Duffy Avenue, Greenville 6032",2,0,-31.85889129,115.9520974,0416597803,0420728252,MED
Bradford,Barclay,,23,Mcdonald,Road,Henley Creek,6048,"23 Mcdonald Road, Henley Creek 6048",3,0,-32.06333524,115.9751767,0465451136,0421200513,LOW
Bradshaw,Kimberley,,35,Cline,Street,High Canning,6021,"35 Cline Street, High Canning 6021",2,0,-31.8127643,116.0125112,0430295827,0421471565,LOW
Brady,Ava,,45,King,Road,Blue Hill,6027,"45 King Road, Blue Hill 6027",1,2,-31.84888163,115.9381387,0497911949,0421615202,MED
Branch,Mufutau,,39,Lang,Street,Swan Brook,6051,"39 Lang Street, Swan Brook 6051",1,2,-32.04773413,115.9191674,0484605065,0421794397,MED
Brewer,Hope,,23,Jordan,Road,Wilis Vale,6095,"23 Jordan Road, Wilis Vale 6095",1,3,-31.95297018,116.0493584,0459211578,0421954636,MED
Browning,Veronica,,55,Hopper,Street,St Spencer,6032,"55 Hopper Street, St Spencer 6032",2,3,-32.00735675,115.9157656,0483535633,0422229746,LOW
Bruce,Fletcher,,37,Joyner,Street,Lesley Mills,6021,"37 Joyner Street, Lesley Mills 6021",2,0,-31.86049438,115.9004973,0485670817,0422236855,HIGH
Bryant,Nelle,,13,Medina,Road,High Canning,6037,"13 Medina Road, High Canning 6037",2,1,-31.9691621,115.9927818,0431793536,0422369753,MED
Buchanan,Charity,,39,Jacobson,Road,Bentley Valley,6048,"39 Jacobson Road, Bentley Valley 6048",5,2,-31.93445931,116.0115946,0411400822,0422419396,MED
Buchanan,Joseph,,38,Fry,Street,Blue Hill,6058,"38 Fry Street, Blue Hill 6058",1,2,-31.95827586,116.2475849,0430314313,0422630661,LOW
Buckley,Yvette,,14,Dalton,Street,Mount Woorup,6058,"14 Dalton Street, Mount Woorup 6058",1,1,-31.94896516,116.0197246,0432866606,0422722594,MED
Burris,Hanae,,14,Pollard,Street,Swan Brook,6056,"14 Pollard Street, Swan Brook 6056",2,2,-31.9145597,116.0911792,0450820281,0422791024,LOW
Cabrera,Kelly,,36,Barnett,Street,East Cubbin,6078,"36 Barnett Street, East Cubbin 6078",2,1,-31.94888046,116.0755489,0426576103,0422867897,LOW
Cain,Kasper,,11,Cummings,Road,Blue Hill,6059,"11 Cummings Road, Blue Hill 6059",2,2,-31.97635182,116.2225692,(08) 68763964,0423368491,MED
Caldwell,Ishmael,,24,Whitehead,Street,Swan Weir,6048,"24 Whitehead Street, Swan Weir 6048",2,1,-31.81998948,116.0564762,0460927923,0423795945,LOW
Campos,Matthew,,41,Rush,Street,Blue Hill,6058,"41 Rush Street, Blue Hill 6058",2,0,-32.04836385,116.2346547,0467817477,0423938763,MED
Cardenas,Price,,15,Neal,Way,Lesley Mills,6016,"15 Neal Way, Lesley Mills 6016",2,1,-31.85266037,115.9695876,0482915227,0424096680,LOW
Carrillo,Jonas,,40,Christensen,Road,Swan Weir,6021,"40 Christensen Road, Swan Weir 6021",1,1,-31.81042122,115.9234165,0439603258,0424409933,LOW
Carrillo,Scarlet,,42,Parker,Avenue,Lesley Mills,6051,"42 Parker Avenue, Lesley Mills 6051",1,0,-31.98735852,116.0294361,(08) 98716322,0424789966,LOW
Carrillo,Christian,,43,Irwin,Road,Stonefield,6058,"43 Irwin Road, Stonefield 6058",5,1,-31.80404139,116.0211333,0464221093,0424124370,MED
Carroll,Christopher,,41,Hunt,Avenue,Forest Glade,6032,"41 Hunt Avenue, Forest Glade 6032",1,0,-32.0436614,115.9031114,0499903209,0424796249,LOW
Casey,Helen,,39,Carroll,Road,Billayong,6016,"39 Carroll Road, Billayong 6016",2,2,-31.89521185,115.9284044,0457418275,0424833956,MED
Cash,Rowan,,19,Davenport,Road,Wilis Vale,6084,"19 Davenport Road, Wilis Vale 6084",2,2,-31.91848859,116.1364886,0412520016,0424926265,LOW
Castaneda,Barclay,,34,Shields,Road,Wilis Vale,6064,"34 Shields Road, Wilis Vale 6064",1,1,-31.81438932,116.0723399,0432112228,0425126723,LOW
Castillo,Abraham,,35,Barnett,Street,Cubbin,6042,"35 Barnett Street, Cubbin 6042",5,1,-31.91087357,115.941479,0482614959,0425154063,LOW
Chambers,Abbot,,45,Wade,Road,Forest Glade,6037,"45 Wade Road, Forest Glade 6037",2,4,-32.09083239,115.9332446,0469952007,0425215703,LOW
Chang,Galvin,,18,Wynn,Loop,East Helena,6021,"18 Wynn Loop, East Helena 6021",1,2,-31.87275332,116.1174606,0461134779,0425394697,MED
Chang,Victoria,,38,Barrett,Road,Blue Hill,6021,"38 Barrett Road, Blue Hill 6021",3,0,-31.88874682,115.9028884,0427764527,0425225769,LOW
Chang,Brent,,56,McCullough,Street,Cubbin,6056,"56 McCullough Street, Cubbin 6056",2,1,-31.81595681,115.9726233,0465846562,0425265823,MED
Chen,Frances,,34,Randolph,Road,East Cubbin,6032,"34 Randolph Road, East Cubbin 6032",3,2,-32.029489,115.9495318,0436702221,0426620466,LOW
Chen,Holmes,,17,Park,Road,Albadale,6032,"17 Park Road, Albadale 6032",2,0,-32.04591765,115.993239,0417035114,0426711386,LOW
Church,Davis,,34,Waller,Road,Mount Woorup,6032,"34 Waller Road, Mount Woorup 6032",2,2,-32.03879435,115.9059832,0481317639,0426732176,HIGH
Clarke,Orli,,44,Garrison,Road,Cloverwater,6056,"44 Garrison Road, Cloverwater 6056",2,2,-31.84239591,116.0401143,0440720733,0426851997,MED
Clements,Tad,,15,Webster,Avenue,Henley Creek,6048,"15 Webster Avenue, Henley Creek 6048",2,1,-31.85973064,115.953984,0491919783,0427143997,LOW
Clements,Clarke,,35,Forbes,Road,Cubbin,6051,"35 Forbes Road, Cubbin 6051",1,0,-32.062138,116.2242047,0495200096,0427610640,LOW
Cleveland,Sigourney,,19,Tucker,Road,Swan Weir,6042,"19 Tucker Road, Swan Weir 6042",1,1,-31.84235452,115.9454048,(08) 94087803,0427624282,MED
Cline,Serena,,37,Roman,Avenue,Marabelling,6032,"37 Roman Avenue, Marabelling 6032",2,3,-32.09064264,115.9807798,0448700903,0427779220,LOW
Cochran,Yardley,,14,McCullough,Road,East Helena,6032,"14 McCullough Road, East Helena 6032",1,1,-32.08321133,115.9756148,0414187675,0428101766,MED
Coffey,Mark,,11,Dudley,Street,Henley Creek,6016,"11 Dudley Street, Henley Creek 6016",2,3,-31.86474633,116.2278158,(08) 63252500,0428208695,LOW
Cohen,Hedda,,37,Barnett,Street,Henley Creek,6037,"37 Barnett Street, Henley Creek 6037",1,2,-31.91143488,115.9141269,0490596522,0428432663,LOW
Coleman,Jorden,,32,Pratt,Street,East Helena,6037,"32 Pratt Street, East Helena 6037",2,1,-31.90513336,116.0345234,(08) 62696818,0428693648,LOW
Collier,Germaine,,13,Becker,Street,Bentley Valley,6032,"13 Becker Street, Bentley Valley 6032",2,5,-32.06450401,115.9356285,0422757353,0428763145,LOW
Collier,Lane,,42,Bridges,Loop,Stonefield,6032,"42 Bridges Loop, Stonefield 6032",1,3,-32.08960569,115.9782855,0452581299,0428963150,LOW
Collier,Norman,,53,Mcintosh,Road,Swan Weir,6048,"53 Mcintosh Road, Swan Weir 6048",1,0,-32.06747854,115.9156292,0461148600,0429461519,LOW
Compton,Kevin,,40,Webster,Road,Blue Hill,6058,"40 Webster Road, Blue Hill 6058",1,1,-32.04012121,116.0178927,0484557806,0429504912,LOW
Conner,Dante,,17,Fields,Road,St Spencer,6058,"17 Fields Road, St Spencer 6058",2,1,-31.84381327,115.9797464,(08) 93024894,0429774627,LOW
Conrad,Althea,,47,Glover,Circle,Swan Brook,6016,"47 Glover Circle, Swan Brook 6016",2,2,-31.84671419,115.9998222,0496050861,0430012011,LOW
Conrad,Amir,,18,Pace,Avenue,Swan Brook,6048,"18 Pace Avenue, Swan Brook 6048",2,0,-32.05349038,116.2710392,0493760609,0430247657,LOW
Conway,Jameson,,9,Crawford,Street,East Cubbin,6016,"9 Crawford Street, East Cubbin 6016",2,2,-31.88396167,116.2103271,0462321915,0430374159,MED
Conway,Jemima,,42,Hoover,Street,Bentley Valley,6051,"42 Hoover Street, Bentley Valley 6051",1,1,-32.00521578,116.1331617,0427141080,0430682188,MED
Cooley,Chiquita,,53,Walter,Street,Lesley Mills,6058,"53 Walter Street, Lesley Mills 6058",1,1,-31.87365727,115.9489247,0496114771,0431119178,HIGH
Cooley,Yoshio,,7,Osborne,Street,High Canning,6090,"7 Osborne Street, High Canning 6090",1,2,-32.07501429,115.9434782,0448254549,0430855392,LOW
Cotton,Teagan,,14,Sanford,Street,Mount Woorup,6078,"14 Sanford Street, Mount Woorup 6078",1,1,-31.99749513,116.0734005,0443604828,0431315394,LOW
Cotton,Ifeoma,,36,Walsh,Avenue,Bentley Valley,6095,"36 Walsh Avenue, Bentley Valley 6095",1,1,-31.97895478,115.9017534,0412610709,0431494607,MED
Cox,Nola,,13,Watkins,Avenue,Forest Glade,6027,"13 Watkins Avenue, Forest Glade 6027",2,2,-31.89861009,115.9426334,0485804322,0431528541,LOW
Cox,Yvonne,,4,Combs,Street,Lesley Mills,6056,"4 Combs Street, Lesley Mills 6056",2,1,-31.80980221,116.0903697,0414578737,0431503710,LOW
Craft,Xanthus,,13,Hopper,Road,South Cobrook,6058,"13 Hopper Road, South Cobrook 6058",1,0,-31.83390005,115.928743,0485550669,0431667329,LOW
Craig,Lucian,,14,Banks,Street,South Cobrook,6048,"14 Banks Street, South Cobrook 6048",1,1,-31.97075684,115.9336549,0433338584,0432112975,LOW
Crosby,Roary,,16,Owen,Street,Wilis Vale,6016,"16 Owen Street, Wilis Vale 6016",1,3,-31.87617374,115.9682269,0470301929,0432116524,LOW
Cross,Freya,,8,Baird,Street,Mount Woorup,6048,"8 Baird Street, Mount Woorup 6048",1,0,-31.85917339,116.0053334,0448054087,0432566324,LOW
Cummings,Aileen,,13,Mcconnell,Street,Albadale,6037,"13 Mcconnell Street, Albadale 6037",1,3,-32.0156464,115.9306216,0457689791,0432626555,LOW
Cunningham,Noelle,,43,Powell,Avenue,Lesley Mills,6058,"43 Powell Avenue, Lesley Mills 6058",1,0,-31.80730506,115.9469278,0474985684,0433023523,LOW
Cunningham,Beverly,,15,Lynn,Street,Cloverwater,6078,"15 Lynn Street, Cloverwater 6078",2,1,-32.06096245,116.0837311,0436196001,0432637759,MED
Dalton,Portia,,39,William,Street,Blue Hill,6037,"39 William Street, Blue Hill 6037",2,0,-31.85697391,115.9422938,0417611743,0433208751,LOW
Daniel,Beau,,34,Rojas,Road,Marricup,6016,"34 Rojas Road, Marricup 6016",1,2,-31.87008623,115.9478979,0444615569,0433728285,MED
Daugherty,Ciara,Unit 3,16,Bright,Road,Cloverwater,6064,"Unit 3, 16 Bright Road, Cloverwater 6064",2,3,-31.81650266,116.1919039,0431931219,0433839984,MED
Davenport,Clayton,Unit 3,14,Terry,Avenue,Marabelling,6056,"Unit 3, 14 Terry Avenue, Marabelling 6056",2,0,-32.08973097,116.288336,0493248200,0434082693,LOW
Davidson,Kiayada,,54,Powers,Street,Marricup,6090,"54 Powers Street, Marricup 6090",1,1,-31.91744785,116.1376588,0499121680,0434159279,MED
Davis,Jeremy,,23,Dyer,Street,High Canning,6032,"23 Dyer Street, High Canning 6032",1,1,-32.04991441,115.9793937,0464110500,0434203652,MED
Dean,Suki,,16,Green,Road,Swan Brook,6021,"16 Green Road, Swan Brook 6021",2,2,-31.80518286,115.9513452,(08) 99553182,0434303089,LOW
Decker,Raja,,14,Marks,Road,Briganup,6032,"14 Marks Road, Briganup 6032",1,1,-32.08660323,115.9408172,(08) 65138378,0434457241,LOW
Decker,Cedric,,23,Tyson,Road,South Cobrook,6078,"23 Tyson Road, South Cobrook 6078",2,1,-32.01601845,115.9860086,0495347483,0434391707,MED
Dillard,Hedley,,34,McCullough,Street,East Cubbin,6032,"34 McCullough Street, East Cubbin 6032",1,0,-32.09787796,115.9048969,0468145514,0435024085,LOW
Dillard,Laurel,,39,Hooper,Avenue,Swan Weir,6048,"39 Hooper Avenue, Swan Weir 6048",2,7,-31.99686735,116.0118285,0487392063,0435012912,MED
Dominguez,Kasimir,,16,Sandoval,Road,Swan Weir,6042,"16 Sandoval Road, Swan Weir 6042",2,2,-31.89129669,116.0477558,0462391546,0435090835,MED
Donaldson,Aaron,,16,Jacobson,Street,Mount Woorup,6037,"16 Jacobson Street, Mount Woorup 6037",1,2,-32.04076316,116.047571,0493189782,0435158110,LOW
Dorsey,Yoshio,,34,Howe,Street,East Helena,6021,"34 Howe Street, East Helena 6021",2,1,-31.83168338,115.9225369,0443060625,0435192905,LOW
Douglas,Alma,,39,McCullough,Street,Billayong,6027,"39 McCullough Street, Billayong 6027",2,0,-31.85346879,115.9274396,(08) 67473487,0435269574,MED
Drake,Blythe,,12,Mcclain,Street,St Spencer,6058,"12 Mcclain Street, St Spencer 6058",1,2,-32.08740408,115.9002727,0413064391,0435374469,LOW
Duffy,Eliana,,36,Lang,Road,High Canning,6048,"36 Lang Road, High Canning 6048",1,1,-31.97634294,115.9945084,0453710574,0435509272,MED
Duke,Mariko,,11,Thomas,Street,Marricup,6016,"11 Thomas Street, Marricup 6016",1,0,-31.81784659,116.0635614,0444983254,0436387412,LOW
Duke,Melodie,,37,Frederick,Road,Henley Creek,6037,"37 Frederick Road, Henley Creek 6037",1,1,-31.87052464,116.0712464,0437314364,0436064234,LOW
Duke,Yasir,,24,Donovan,Street,Lesley Mills,6058,"24 Donovan Street, Lesley Mills 6058",1,1,-32.0929755,116.0052946,(08) 98595955,0435911542,MED
Edwards,Marah,,11,Ballard,Road,Briganup,6037,"11 Ballard Road, Briganup 6037",2,2,-31.95244091,116.0028749,0465354511,0436978476,LOW
Elliott,Dieter,,42,Tate,Street,Lesley Mills,6042,"42 Tate Street, Lesley Mills 6042",1,1,-31.87177364,116.103791,0428097799,0437082977,LOW
Elliott,Mara,,34,Sharpe,Road,High Canning,6042,"34 Sharpe Road, High Canning 6042",1,1,-31.97365929,116.0170796,0476391642,0437073311,LOW
Ellis,Dalton,,58,Skinner,Road,East Helena,6090,"58 Skinner Road, East Helena 6090",1,0,-31.9496624,116.2244039,0469359808,0437131015,MED
Estrada,Inez,,36,Holt,Circle,Forest Glade,6090,"36 Holt Circle, Forest Glade 6090",2,2,-32.04525768,116.0052939,0476546545,0437481579,LOW
Everett,MacKensie,,7,Harrison,Road,Greenville,6048,"7 Harrison Road, Greenville 6048",4,1,-31.98156782,115.9698526,0463173736,0437537213,LOW
Farmer,Tyler,,15,Townsend,Road,Henley Creek,6037,"15 Townsend Road, Henley Creek 6037",2,1,-31.94273721,115.9772293,0417193997,0437749103,MED
Ferguson,Amery,,35,Walsh,Street,Cloverwater,6051,"35 Walsh Street, Cloverwater 6051",1,0,-32.0803803,115.9232085,0455032357,0437950741,HIGH
Ferguson,Jared,,36,O'connor,Street,Henley Creek,6058,"36 O'connor Street, Henley Creek 6058",2,1,-31.80566298,116.0570123,0435548776,0437830155,MED
Fernandez,Walter,,59,Taylor,Road,East Helena,6027,"59 Taylor Road, East Helena 6027",1,0,-31.89547299,115.9060693,0469395827,0438416476,LOW
Fields,Kirsten,,34,Dyer,Street,Briganup,6021,"34 Dyer Street, Briganup 6021",2,0,-31.89674379,115.9270698,0468210164,0438709678,LOW
Figueroa,Coby,,12,Dale,Street,Forest Glade,6032,"12 Dale Street, Forest Glade 6032",1,0,-32.01785627,115.9875577,0417876626,0439258256,LOW
Fitzgerald,Hall,,45,Duran,Street,Cloverwater,6058,"45 Duran Street, Cloverwater 6058",2,1,-31.90074394,115.9325081,0457064936,0439520742,LOW
Fitzgerald,Veda,,42,Hale,Road,Marricup,6064,"42 Hale Road, Marricup 6064",4,0,-31.93923807,116.0076635,0418117019,0439373872,LOW
Fletcher,Fatima,,34,Jordan,Street,Swan Brook,6037,"34 Jordan Street, Swan Brook 6037",1,7,-31.88669095,116.0789934,0478785841,0439740957,LOW
Fletcher,Salvador,,43,Hickman,Street,Swan Brook,6042,"43 Hickman Street, Swan Brook 6042",1,3,-31.91621708,115.9607101,0443295897,0439563740,HIGH
Forbes,Bell,,46,Christian,Street,Mount Woorup,6032,"46 Christian Street, Mount Woorup 6032",1,5,-32.08265961,115.9034911,0425714775,0439751879,LOW
Foreman,Kristen,,4,Larsen,Street,Albadale,6037,"4 Larsen Street, Albadale 6037",1,3,-31.82634017,116.0386432,0461991340,0440120716,MED
Fowler,Lois,,8,Leach,Street,Henley Creek,6032,"8 Leach Street, Henley Creek 6032",1,0,-32.06940745,115.9888443,0426004830,0440161351,HIGH
Fox,Cecilia,,14,Fields,Street,Cubbin,6032,"14 Fields Street, Cubbin 6032",2,2,-32.04039703,115.9475431,0423249125,0440298049,HIGH
Franks,Ira,,10,Baldwin,Street,Bentley Valley,6090,"10 Baldwin Street, Bentley Valley 6090",2,0,-31.85497437,116.2821965,0478934821,0440921273,LOW
French,Hamish,Unit 5,36,England,Street,Swan Brook,6037,"Unit 5, 36 England Street, Swan Brook 6037",1,0,-31.86745163,116.076699,0472605702,0441855017,LOW
Frost,Nicole,,14,Patterson,Street,Blue Hill,6037,"14 Patterson Street, Blue Hill 6037",2,0,-31.93334026,116.0663243,0464572471,0441901823,LOW
Fry,Britanney,,36,Simon,Way,St Spencer,6056,"36 Simon Way, St Spencer 6056",1,0,-32.09408619,116.0188408,0494964645,0442270857,HIGH
Frye,Fuller,,40,Branch,Street,Forest Glade,6037,"40 Branch Street, Forest Glade 6037",3,4,-32.00889766,116.1112232,0444056560,0442286158,LOW
Frye,Demetrius,,44,Irwin,Street,Swan Weir,6090,"44 Irwin Street, Swan Weir 6090",2,2,-31.86134492,116.0389226,0485159293,0442472013,MED
Fulton,Anne,,40,Gould,Avenue,Cloverwater,6037,"40 Gould Avenue, Cloverwater 6037",2,0,-32.07006251,116.0197372,0449371603,0443119620,LOW
Gaines,Gage,,35,Byrd,Avenue,Albadale,6048,"35 Byrd Avenue, Albadale 6048",3,3,-31.98259223,115.9344984,0455811310,0443191354,LOW
Gaines,Jayme,,7,Cook,Avenue,Billayong,6058,"7 Cook Avenue, Billayong 6058",2,1,-32.02479421,116.1327044,0497945858,0443254794,MED
Gallegos,Beatrice,,37,Coffey,Street,Wilis Vale,6042,"37 Coffey Street, Wilis Vale 6042",1,2,-31.84491963,116.1836675,0458868254,0443364127,MED
Gamble,Chester,Unit 6,36,Goodwin,Avenue,Greenville,6051,"Unit 6, 36 Goodwin Avenue, Greenville 6051",2,1,-31.95159502,116.0397848,0448303327,0443365950,LOW
Garcia,William,Unit 4,35,Lang,Street,Briganup,6016,"Unit 4, 35 Lang Street, Briganup 6016",2,4,-31.81883008,116.2990878,0421644995,0443491706,HIGH
Garrett,Jenette,,44,Nash,Street,Albadale,6037,"44 Nash Street, Albadale 6037",1,1,-31.93573963,115.9098761,0461433219,0443747159,LOW
Garrison,Galvin,,32,Hicks,Road,Albadale,6027,"32 Hicks Road, Albadale 6027",3,2,-31.84010232,115.9282916,0498452672,0444303466,MED
Garrison,Jolie,,10,Thomas,Road,Lesley Mills,6037,"10 Thomas Road, Lesley Mills 6037",4,0,-31.94965342,116.070414,0487218883,0443765453,LOW
Garrison,Kiona,,47,O'Brien,Street,Cubbin,6095,"47 O'Brien Street, Cubbin 6095",1,2,-31.81001243,115.9586271,0426303709,0444700994,LOW
Garza,Kareem,,17,Massey,Way,Wilis Vale,6048,"17 Massey Way, Wilis Vale 6048",1,5,-31.81031273,116.0974789,0471769347,0444825257,MED
Gay,Faith,,8,Stout,Road,South Cobrook,6032,"8 Stout Road, South Cobrook 6032",2,2,-32.0400421,115.9597048,0457243327,0444908842,LOW
George,Eliana,,5,Payne,Road,Stonefield,6042,"5 Payne Road, Stonefield 6042",2,1,-31.8278288,116.0688255,(08) 91111406,0444918858,LOW
Gibbs,Sonia,,41,Gould,Road,Bentley Valley,6021,"41 Gould Road, Bentley Valley 6021",1,2,-31.85298247,115.9844113,0434540378,0445804274,MED
Gibbs,Adara,,43,Wolf,Road,East Helena,6032,"43 Wolf Road, East Helena 6032",2,1,-31.84928685,115.9199148,0494815020,0445744797,LOW
Gibbs,Carly,,39,Oliver,Avenue,Swan Weir,6084,"39 Oliver Avenue, Swan Weir 6084",2,1,-31.86904062,116.1441866,0469494917,0445032911,MED
